,uwwName,uwwLatitude,uwwLongitude,the_geom
184,Leicester   ,52.70103424,-1.11575968,POINT (-1.115759684 52.70103427666389)
185,Hmp Lindholme & Moorland,53.55555456,-0.98134505,POINT (-0.9813450541704289 53.55555459214972)
186,Wilmslow ,53.33755165,-2.23980971,POINT (-2.2398097080000006 53.337551685960186)
187,Oldham ,53.53641898,-2.16187188,POINT (-2.1618718759999997 53.536419015731084)
188,Wainfleet ,53.11246812,0.22626201,POINT (0.226262014 53.11246815621422)
189,Walton On The Naze ,51.87335303,1.28530694,POINT (1.285306944 51.87335306750838)
190,Denholme   ,53.80170645,-1.88610546,POINT (-1.8861054640000001 53.801706485418855)
191,Bingley   ,53.83992192,-1.81913547,POINT (-1.8191354710000003 53.83992195537326)
192,Driffield ,53.99792291,-0.43539629999999996,POINT (-0.4353962969999999 53.997922945183134)
193,Dronfield ,53.29598823,-1.45010615,POINT (-1.450106145 53.29598826600752)
194,Earby ,53.922126600000006,-2.13823889,POINT (-2.138238886 53.92212663527466)
195,Ibstock ,52.67796396,-1.41056431,POINT (-1.4105643080000003 52.67796399668849)
196,Ilkeston ,52.95090331,-1.28258299,POINT (-1.2825829859999998 52.9509033463931)
197,Wilpshire ,53.78726842,-2.49402142,POINT (-2.494021416 53.78726845543605)
198,Windermere ,54.314108499999996,-2.94793386,POINT (-2.947933854999999 54.314108534794926)
199,Dover/Folkstone   ,51.11339544,1.2643319,POINT (1.2643319020000001 51.113395478209824)
200,Redgate Mill ,51.06718425,0.2151594,POINT (0.2151593990000001 51.06718428825011)
201,Maidstone And Aylesford   ,51.30757354,0.46590553,POINT (0.465905534 51.30757357803755)
202,Whitewall Creek ,51.4045082,0.51485901,POINT (0.5148590110000001 51.404508237949734)
203,Strabane,54.838,-7.4670000000000005,POINT (-7.467 54.838000034129855)
204,Poppy Hill ,52.0344376,-0.26510402,POINT (-0.265104023 52.03443763735047)
205,Sittingbourne ,51.35066004,0.74257172,POINT (0.742571719 51.35066007799869)
206,Asfordby ,52.75997092,-0.95630106,POINT (-0.9563010639999999 52.75997095660065)
207,Ashbourne ,53.01250991,-1.75836824,POINT (-1.7583682420000002 53.01250994632525)
208,Aslockton ,52.95768604,-0.9193929,POINT (-0.919392904 52.957686076385656)
209,Chideock ,50.72630681,-2.81502514,POINT (-2.815025137 50.72630684853872)
210,Bradninch ,50.82173159,-3.41426891,POINT (-3.4142689110226296 50.82173162520346)
211,Leeming Bar ,54.30609514,-1.54277855,POINT (-1.5427785470000004 54.30609517480488)
212,Leyburn ,54.29841766,-1.81609049,POINT (-1.8160904939999998 54.29841769481442)
213,Feniton ,50.78435516,-3.25902515,POINT (-3.2590251523617604 50.78435519937475)
214,Newton Ferrers ,50.31894581,-4.01578483,POINT (-4.01578483419599 50.31894584701586)
215,North Tawton ,50.80089526,-3.90575222,POINT (-3.905752224735217 50.80089529980138)
